Mus musculus
Mus musculus
Mus musculus
Homo sapiens
Homo sapiens
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Danio rerio
Oryza sativa subsp. japonica
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Xenopus tropicalis
Xenopus tropicalis
Rattus norvegicus
Arabidopsis thaliana
Danio rerio
Rattus norvegicus
Arabidopsis thaliana
Rattus norvegicus
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Homo sapiens
Arabidopsis thaliana
Gallus gallus
Caenorhabditis elegans
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Oryza sativa subsp. japonica
Drosophila melanogaster
Arabidopsis thaliana
Rattus norvegicus
Danio rerio
Xenopus tropicalis
Xenopus tropicalis
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Rattus norvegicus
Mus musculus
Mus musculus
Mus musculus
Arabidopsis thaliana
Arabidopsis thaliana
Homo sapiens
Xenopus laevis
Sus scrofa
Oryza sativa subsp. japonica
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Caenorhabditis elegans
Drosophila melanogaster
Danio rerio
Gallus gallus
Caenorhabditis elegans
Rattus norvegicus
Danio rerio
Drosophila melanogaster
Arabidopsis thaliana
Homo sapiens
Caenorhabditis elegans
Xenopus laevis
Drosophila melanogaster
Drosophila melanogaster
Homo sapiens
Mus musculus
Xenopus laevis
Xenopus laevis
Xenopus laevis
Xenopus laevis
Xenopus laevis
Xenopus laevis
Xenopus laevis
Arabidopsis thaliana
Danio rerio
Danio rerio
Danio rerio
Mus musculus
Danio rerio
Danio rerio
Sus scrofa
Sus scrofa
Danio rerio
Mus musculus
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Oryza sativa subsp. japonica
Oryza sativa subsp. japonica
Oryza sativa subsp. japonica
Arabidopsis thaliana
Gallus gallus
Xenopus laevis
Xenopus laevis
Drosophila melanogaster
Drosophila melanogaster
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Mus musculus
Drosophila melanogaster
Drosophila melanogaster
Rattus norvegicus
Sus scrofa
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
Arabidopsis thaliana
